2026-06-12 03:59:29.051 | INFO     | __main__:_build_index_if_needed:39 - index exists, skipping build
2026-06-12 03:59:29.051 | INFO     | src.embed:_load_embed_model:17 - loading embed model: BAAI/bge-large-en-v1.5
2026-06-12 03:59:40.865 | INFO     | src.retriever:load_reranker:103 - loading reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-06-12 03:59:46.261 | INFO     | src.pipeline:load_qa_set:21 - loaded 39 qa pairs
2026-06-12 03:59:46.261 | INFO     | __main__:_eval_model:53 - --- Qwen/Qwen3-8B ---
2026-06-12 03:59:46.261 | INFO     | src.generator:load_model:113 - loading Qwen/Qwen3-8B
2026-06-12 04:03:57.961 | INFO     | src.indexer:load_index:88 - index loaded: 472 chunks
2026-06-12 04:03:57.962 | INFO     | src.retriever:load_reranker:103 - loading reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-06-12 04:04:01.218 | INFO     | src.pipeline:run_eval:49 - [1/39] I'm visiting a food and beverage plant. Which products should I pitch for washdo
2026-06-12 04:04:15.753 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Based on engineering documentation, the following products are suitable for wash...
2026-06-12 04:05:22.751 | INFO     | src.pipeline:run_eval:80 -   composite=0.6471
2026-06-12 04:05:22.752 | INFO     | src.pipeline:run_eval:49 - [2/39] What is the washdown rating and enclosure material of the Enclosed Unimodule Was
2026-06-12 04:05:36.377 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The Enclosed Unimodule Washdown clutch/brake has a NEMA 4X enclosure rating and ...
2026-06-12 04:05:56.409 | INFO     | src.pipeline:run_eval:80 -   composite=0.8496
2026-06-12 04:05:56.410 | INFO     | src.pipeline:run_eval:49 - [3/39] What is the Warner Electric magnetic capping headset's key differentiator I can 
2026-06-12 04:06:10.000 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The Warner Electric magnetic capping headset's key differentiator is its ability...
2026-06-12 04:06:36.946 | INFO     | src.pipeline:run_eval:80 -   composite=0.3944
2026-06-12 04:06:36.947 | INFO     | src.pipeline:run_eval:49 - [4/39] A dairy customer needs an emergency stop along their conveyor. What can I offer 
2026-06-12 04:06:50.680 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The ___________ is a compact, high-performance emergency stop device that can be...
2026-06-12 04:07:34.711 | INFO     | src.pipeline:run_eval:80 -   composite=0.3645
2026-06-12 04:07:34.712 | INFO     | src.pipeline:run_eval:49 - [5/39] For a crane and hoist customer who needs power-off load holding, what should I p
2026-06-12 04:07:48.445 | DEBUG    | src.retriever:_hyde_query:40 - hyde: For power-off load holding, the customer should consider using a _______ brake. ...
2026-06-12 04:08:43.417 | INFO     | src.pipeline:run_eval:80 -   composite=0.712
2026-06-12 04:08:43.418 | INFO     | src.pipeline:run_eval:49 - [6/39] What is the CBCx-001 switch and where does it fit in crane applications?
2026-06-12 04:08:57.474 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The CBCx-001 is a compact, high-performance Ethernet switch designed for industr...
2026-06-12 04:09:57.530 | INFO     | src.pipeline:run_eval:80 -   composite=0.4735
2026-06-12 04:09:57.531 | INFO     | src.pipeline:run_eval:49 - [7/39] Where does the EUM-FBB brake module mount and how many sizes are available?
2026-06-12 04:10:11.591 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The EUM-FBB brake module is mounted on the vehicle's chassis, specifically at th...
2026-06-12 04:10:53.102 | INFO     | src.pipeline:run_eval:80 -   composite=0.487
